serial,stock,ticker
1,ACC LIMITED,ACC
2,ADANI ENTERPRISES LIMITED,ADANIENT
3,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS
4,ADANI POWER LIMITED,ADANIPOWER
5,AMARA RAJA BATTERIES LIMITED,AMARAJABAT
6,AMBUJA CEMENTS LIMITED,AMBUJACEM
7,APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP
8,APOLLO TYRES LIMITED,APOLLOTYRE
9,ASHOK LEYLAND LIMITED,ASHOKLEY
10,ASIAN PAINTS LIMITED,ASIANPAINT
11,AUROBINDO PHARMA LIMITED,AUROPHARMA
12,AXIS BANK LIMITED,AXISBANK
13,BAJAJ AUTO LIMITED,BAJAJ-AUTO
14,BAJAJ FINANCE LIMITED,BAJFINANCE
15,BAJAJ FINSERV LIMITED,BAJAJFINSV
16,BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
17,BANDHAN BANK LIMITED,BANDHANBNK
18,BANK OF BARODA,BANKBARODA
19,BATA INDIA LIMITED,BATAINDIA
20,BERGER PAINTS (I) LIMITED,BERGEPAINT
21,BHARAT ELECTRONICS LIMITED,BEL
22,BHARAT FORGE LIMITED,BHARATFORG
23,BHARAT PETROLEUM CORPORATION LIMITED,BPCL
24,BHARTI AIRTEL LIMITED,BHARTIARTL
25,BHARTI INFRATEL LIMITED,INFRATEL
26,BHARAT HEAVY ELECTRICALS LIMITED,BHEL
27,BIOCON LIMITED,BIOCON
28,BOSCH LIMITED,BOSCHLTD
29,BRITANNIA INDUSTRIES LIMITED,BRITANNIA
30,CADILA HEALTHCARE LIMITED,CADILAHC
31,CANARA BANK,CANBK
32,CENTURY TEXTILES & INDUSTRIES LIMITED,CENTURYTEX
33,CESC LIMITED,CESC
34,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
35,CIPLA LIMITED,CIPLA
36,COAL INDIA LIMITED,COALINDIA
37,COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL
38,CONTAINER CORPORATION OF INDIA LIMITED,CONCOR
39,CUMMINS INDIA LIMITED,CUMMINSIND
40,DABUR INDIA LIMITED,DABUR
41,DIVI'S LABORATORIES LIMITED,DIVISLAB
42,DLF LIMITED,DLF
43,DR. REDDY'S LABORATORIES LIMITED,DRREDDY
44,EICHER MOTORS LIMITED,EICHERMOT
45,EQUITAS HOLDINGS LIMITED,EQUITAS
46,ESCORTS LIMITED,ESCORTS
47,EXIDE INDUSTRIES LIMITED,EXIDEIND
48,THE FEDERAL BANK  LIMITED,FEDERALBNK
49,GAIL (INDIA) LIMITED,GAIL
50,GLENMARK PHARMACEUTICALS LIMITED,GLENMARK
51,GMR INFRASTRUCTURE LIMITED,GMRINFRA
52,GODREJ CONSUMER PRODUCTS LIMITED,GODREJCP
53,GODREJ PROPERTIES LIMITED,GODREJPROP
54,GRASIM INDUSTRIES LIMITED,GRASIM
55,HAVELLS INDIA LIMITED,HAVELLS
56,HCL TECHNOLOGIES LIMITED,HCLTECH
57,HDFC BANK LIMITED,HDFCBANK
58,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,HDFC
59,HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE
60,HERO MOTOCORP LIMITED,HEROMOTOCO
61,HINDALCO INDUSTRIES LIMITED,HINDALCO
62,HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDPETRO
63,HINDUSTAN UNILEVER LIMITED,HINDUNILVR
64,ICICI BANK LIMITED,ICICIBANK
65,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
66,INFO EDGE (INDIA) LIMITED,NAUKRI
67,VODAFONE IDEA LIMITED,IDEA
68,IDFC FIRST BANK LIMITED,IDFCFIRSTB
69,INDIABULLS HOUSING FINANCE LIMITED,IBULHSGFIN
70,INDIAN OIL CORPORATION LIMITED,IOC
71,INDRAPRASTHA GAS LIMITED,IGL
72,INDUSIND BANK LIMITED,INDUSINDBK
73,INFOSYS LIMITED,INFY
74,INTERGLOBE AVIATION LIMITED,INDIGO
75,ITC LIMITED,ITC
76,JINDAL STEEL & POWER LIMITED,JINDALSTEL
77,JSW STEEL LIMITED,JSWSTEEL
78,JUBILANT FOODWORKS LIMITED,JUBLFOOD
79,JUST DIAL LIMITED,JUSTDIAL
80,KOTAK MAHINDRA BANK LIMITED,KOTAKBANK
81,L&T FINANCE HOLDINGS LIMITED,L&TFH
82,LARSEN & TOUBRO LIMITED,LT
83,LIC HOUSING FINANCE LIMITED,LICHSGFIN
84,LUPIN LIMITED,LUPIN
85,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&MFIN
86,MAHANAGAR GAS LIMITED,MGL
87,MAHINDRA & MAHINDRA LIMITED,M&M
88,MANAPPURAM FINANCE LIMITED,MANAPPURAM
89,MARICO LIMITED,MARICO
90,MARUTI SUZUKI INDIA LIMITED,MARUTI
91,MAX FINANCIAL SERVICES LIMITED,MFSL
92,MINDTREE LIMITED,MINDTREE
93,MOTHERSON SUMI SYSTEMS LIMITED,MOTHERSUMI
94,MRF LIMITED,MRF
95,MUTHOOT FINANCE LIMITED,MUTHOOTFIN
96,NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
97,NCC LIMITED,NCC
98,NESTLE INDIA LIMITED,NESTLEIND
99,NIIT TECHNOLOGIES LIMITED,NIITTECH
100,NMDC LIMITED,NMDC
101,NTPC LIMITED,NTPC
102,OIL & NATURAL GAS CORPORATION LIMITED,ONGC
103,OIL INDIA LIMITED,OIL
104,PAGE INDUSTRIES LIMITED,PAGEIND
105,PETRONET LNG LIMITED,PETRONET
106,PIDILITE INDUSTRIES LIMITED,PIDILITIND
107,PIRAMAL ENTERPRISES LIMITED,PEL
108,POWER FINANCE CORPORATION LIMITED,PFC
109,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
110,PUNJAB NATIONAL BANK,PNB
111,PVR LIMITED,PVR
112,RBL BANK LIMITED,RBLBANK
113,RELIANCE INDUSTRIES LIMITED,RELIANCE
114,REC LIMITED,RECLTD
115,SHREE CEMENT LIMITED,SHREECEM
116,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,SRTRANSFIN
117,SIEMENS LIMITED,SIEMENS
118,SRF LIMITED,SRF
119,STATE BANK OF INDIA,SBIN
120,STEEL AUTHORITY OF INDIA LIMITED,SAIL
